Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A qualitative analysis of perceptions of venue: Do professional soccer players and managers concur with the conceptual home advantage framework?","Fothergill, Melissa; Wolfson, Sandy; Little, Linda","International Journal of Sport and Exercise Psychology",="1612197X",,="20141001","12","4","316","17","2014-40596-004","10.1080/1612197X.2014.932826","Taylor & Francis","Journal Article","Athletes; Athletic Performance; Coaches; Environmental Effects; Management Personnel; Soccer; Stakeholder; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male",,"While a considerable amount of archival research has been dedicated to exploring the home advantage, little is known about the beliefs which key agents hold about the phenomenon. The aim of the study was to explore the cognitions of professional soccer coaches and players to ascertain their perceived reasons for why teams perform consistently better at home than away. A purposeful sample consisting of three male professional soccer players and six male professional soccer managers participated in semi-structured interviews. Framework analysis was employed to investigate consistency with Carron, Loughead and Bray's revision of Courneya and Carron's original conceptual home advantage framework. The results indicate that key stakeholders' views are in keeping with the framework, though both players and managers place a greater emphasis on the impact of the referee. These findings offer a number of insights into implications for behaviour and suggest avenues for further research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-40596-004&site=ehost-live"
"An Analysis of Home Advantage in the English Football Premiership.","Thomas, Sion; Reeves, Colin; Davies, Simon","Perceptual and Motor Skills",="00315125",,="20041201","99","3,Part2","1212","5","2005-02252-020","10.2466/PMS.99.7.1212-1216","Perceptual & Motor Skills","Journal Article","Athletic Performance; Communities; Football; Sociocultural Factors",,"Home advantage has been examined across different sports. Pollard provided evidence of this phenomenon in association football (soccer). This present study further considers the prevalence in the English Football Premiership, a division created from the former Football Association First Division in 1992. Archived data were obtained for the First Division seasons 1984-5 to 1991-2 from the Football Statistics Archive and for the English Football Premiership (1992-3 to 2002-3). Chi square analysis confirmed home advantage from season to season since 1984 (p<.05). Analysis of variance compared Pollard's findings and data for the English Football Premiership (1992-2003), as well as the intervening period (1984-92). Home advantage was significantly lower in these more recent periods. Possible factors contributing to the apparent decline in home advantage were highlighted. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-02252-020&site=ehost-live"
"An analysis of home advantage in the top two Spanish professional football leagues.","Sánchez, Pedro A.; García-Calvo, Tomás; Leo, Fracisco M.; Pollard, Richard; Gómez, Miguel A.","Perceptual and Motor Skills",="00315125",,="20090601","108","3","789","9","2009-12474-014","10.2466/PMS.108.3.789-797","Perceptual & Motor Skills","Journal Article","Athletes; Football; Games; Professional Personnel; Adulthood (18 yrs & older)",,"This study examines the effect of the points system on home advantage in the two top Spanish professional football divisions between the 1980-1981 and 2006-2007 seasons. From 1980-81, teams were awarded 2 points for a win. This was increased to 3 points starting in 1995-1996. Lower home advantage was expected with the 3-point system as a consequence of encouraging more attacking play from away teams. The results of an analysis of 20,992 games showed no significant differences in home advantage values between the First Division (66.3% before and 62.1% after the 3-point system) and the Second Division (65.6% before and 59.5% after). Nevertheless, there was a significant decrease in home advantage in both the First and Second Divisions after the introduction of the 3-point system. The results were compared with two similar studies of professional football in England. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-12474-014&site=ehost-live"
"Bayesian networks for unbiased assessment of referee bias in association football.","Constantinou, Anthony Costa; Fenton, Norman Elliott; Hunter Pollock, Liam Jackson","Psychology of Sport and Exercise",="14690292",,="20140901","15","5","538","10","2014-29624-015","10.1016/j.psychsport.2014.05.009","Elsevier Science","Journal Article","Athletic Performance; Judgment; Sport Psychology; Sports Spectators; Soccer; Statistical Probability; Teams; Adulthood (18 yrs & older); Male; Female",,"Objectives: To assess referee bias with respect to fouls and penalty kicks awarded by taking explanatory factors into consideration. Design: We present a novel Bayesian network model for assessing referee bias with respect to fouls and penalty kicks awarded. The model is applied to the 2011-12 English Premier League season. Method: Unlike previous studies, the model takes into consideration explanatory factors which, if ignored, can lead to biased assessments of referee bias. For example, a team may be awarded more penalties simply because it attacks more, not because referees are biased in its favour. Hence, we incorporate causal factors such as possession, time spent in the opposition penalty box, etc. prior to estimating the degree of penalty kicks bias. Results: We found fairly strong referee bias, based on penalty kicks awarded, in favour of certain teams when playing at home. Specifically, the two teams (Manchester City and Manchester United) who finished first and second appear to have benefited from bias that cannot be fully justified by the explanatory factors. Conversely Arsenal, a team of similar popularity and wealth and who finished third, benefited least of all 20 teams from referee bias at home with respect to penalty kicks awarded. Conclusions: Among our conclusions are that, in contrast to many previous studies, being the home team does not in itself result in positive referee bias. More importantly, the model is able to explain significant discrepancies of penalty kicks bias into non-significant after accounting for the explanatory factors. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-29624-015&site=ehost-live"
"Circadian rhythms and enhanced athletic performance in the National Football League.","Smith, Roger S.; Guilleminault, Christian; Efron, Bradley","Sleep: Journal of Sleep Research & Sleep Medicine",="01618105",,="19970501","20","5","362","4","1997-05746-005",,"American Academy of Sleep Medicine","Journal Article","Athletic Performance; Football; Human Biological Rhythms; Athletes; Retrospective Studies; Adulthood (18 yrs & older)",,"Explored the significance of performing at different circadian times in the National Football League (NFL) over the last 25 seasons. West Coast (WC) NFL teams should have a circadian advantage over East Coast (EC) teams during Monday Night Football games because WC teams are essentially playing closer to the proposed peak athletic performance time of day. Retrospective data analysis was applied to all games involving WC vs EC teams playing on Monday Night Football with start times of 9:00 pm Eastern Standard Time from the 1970–94 seasons. Logistic regression analysis of win–loss records relative to point spreads and home-field advantage was examined. WC teams win more often and by more points per game than EC teams. WC teams performed significantly better than was predicted by the Las Vegas odds (the point spread). This apparent advantage enhances home-field advantage for WC teams and essentially eliminates the beneficial effects of home-field advantage for EC teams during Monday Night Football games. Results support the presence of an enhancement of athletic performance at certain circadian times of the day. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-05746-005&site=ehost-live"
"Comparison of home advantage in men's and women's football leagues in Europe.","Pollard, Richard; Gómez, Miguel A.","European Journal of Sport Science",="17461391",,="20140101","14","Suppl 1","S77","7","2014-02749-010","10.1080/17461391.2011.651490","Taylor & Francis","Journal Article","Athletic Performance; Football; Perception; Sports; Human Sex Differences; Soccer; Adulthood (18 yrs & older); Male; Female",,"Most research into home advantage is based on men's sports. This article analyses home advantage in the women's domestic football leagues of Europe and makes a comparison with the corresponding men's football leagues. A total of 47,042 games were included. From 2004 to 2010, home advantage existed in the domestic women's soccer leagues of all 26 European countries analysed, ranging from 51.0% to 58.8% and averaging 54.2%. In every country, this was less than the corresponding men's home advantage which averaged 60.0%. Crowd effects, both on players and referees, and different gender perceptions of territorial protection are plausible reasons for the differences found. Using a regression model that controlled for the competitive balance of each league, as well as for crowd size, the Gender Gap Index, which quantifies the status of women in each country, was a significant predictor of the difference between men's and women's home advantage. As the status of women becomes closer to that of men within a country, the difference in home advantage is less between the men's and women's football leagues. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-02749-010&site=ehost-live"
"Comparison of the home advantage in nine different professional team sports in Spain.","Gómez, Miguel A.; Pollard, Richard; Luis-Pascual, Juan-Carlos","Perceptual and Motor Skills",="00315125",,="20110801","113","1","150","7","2011-23564-012","10.2466/05.PMS.113.4.150-156","Perceptual & Motor Skills","Journal Article","Athletic Performance; Sports; Teams; Baseball; Basketball; Soccer; Adulthood (18 yrs & older)",,"Home advantage is a well-established phenomenon in many sports. The present study is unique in that it includes different sports analysed in the same country, at the same level of competition, and over the same time period. Nine team sports from Spain were included: baseball, basketball, handball, indoor soccer, roller hockey, rugby, soccer, volleyball, and water polo. Data for five seasons (2005–2006 to 2009–2010) were obtained, totaling 9,472 games. The results confirmed the existence of home advantage in all nine sports. There was a statistically significant difference between the sports; home advantage was highest in rugby (67.0%), and lowest in volleyball (55.7%), water polo (56.2%), and roller hockey (58.3%). The design of the study controlled for some of the likely causes of home advantage, and the results suggested that the high home advantage for rugby was likely a reflection of the continuous, aggressive, and intense nature of the sport. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-23564-012&site=ehost-live"
"Components of home advantage in 157 national soccer leagues worldwide.","Pollard, Richard; Gómez, Miguel A.","International Journal of Sport and Exercise Psychology",="1612197X",,="20140701","12","3","218","16","2014-30401-003","10.1080/1612197X.2014.888245","Taylor & Francis","Journal Article","Altitude Effects; Athletic Performance; Soccer; Games; Male; Female",,"Comparison was made of home advantage in 157 national domestic soccer leagues throughout the world for six seasons between 2006 and 2012, a total of 169,752 games. Quantified as the number of competition points won by the home team that was expressed as a percentage of all points gained in the league, the advantage was present in all continents, but showed considerable variation between countries. It was by far the highest in Nigeria (86.82%), followed by Bosnia-Herzegovina, Guatemala, Indonesia, Algeria, Bolivia and Ghana, all between 70% and 80%. Regionally, there were pockets of high home advantage in the Andes, the Balkans, West Africa and Central America, while in the Baltic republics and in most of the Arabian Peninsula it was low. A multivariate model was developed by using proxy variables for the main explanations of home advantage and its worldwide variation. After controlling for the competitive balance in each league, significant predictors of home advantage were: Fédération Internationale de Football Association ranking (a proxy for crowd support), the maximum geographical distance between teams, the majority of teams coming from a single city, at least two teams playing at a high altitude, the recent occurrence of a civil war and the Corruption Perception Index. The model accounted for 43% of the variability in home advantage, the rest of which needs to be investigated after developing more precise measures for territoriality, the ethnic and cultural factors involved and the potential for referee bias. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-30401-003&site=ehost-live"
"Crowd noise as a cue in referee decisions contributes to the home advantage.","Unkelbach, Christian; Memmert, Daniel","Journal of Sport & Exercise Psychology",="08952779",,="20100801","32","4","483","16","2010-24538-003",,"Human Kinetics","Journal Article","Athletic Performance; Cues; Noise Effects; Soccer; Sport Psychology; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs)",,"The home advantage is one of the best established phenomena in sports, and crowd noise has been suggested as one of its determinants. However, the psychological processes that mediate crowd noise influence and its contribution to the home advantage are still unclear. We propose that crowd noise correlates with the criteria referees have to judge. As crowd noise is a valid cue, referee decisions are strongly influenced by crowd noise. Yet, when audiences are not impartial, a home advantage arises. Using soccer as an exemplar, we show the relevance of this influence in predicting outcomes of real games via a database analysis. Then we experimentally demonstrate the influence of crowd noise on referees’ yellow cards decisions in soccer. Finally, we discuss why the focus on referee decisions is useful, and how more experimental research could benefit investigations of the home advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-24538-003&site=ehost-live"
"Efecto de la localización del partido en eliminatorias de ida y vuelta de la UEFA Champions League.","Pic, Miguel; Castellano, Julen","RICYDE. Revista internacional de Ciencias del Deporte / The International Journal of Sport Science",="18853137",,="20160401","12","44","149","15","2016-19879-005","10.5232/ricyde2016.04405","Portal de las Ciencias de la Actividad Física y del Deporte","Journal Article","Coaches; Football; Home Environment; Teams",,"This research aims to investigate second leg home advantage in football. UEFA Champions League quarter-finals and semi-finals from 1954-55 season to 2013-14 season were analyzed, adding up to 642 matches and 336 playoffs. A non-parametric binomial contrast was applied to determine the influence of playing at home, while the binary logistic regression was used to show the explanatory proportion of goals after winning the qualifying round following the first confrontation. The main results showed that, in quarter-finals, local teams (second match) passed the qualifying round at higher rates than in semi-finals, in which visiting teams (second match) were classified at higher rates. From a strategic point of view, a better matchup game model and the selection of an alignment more consistent with the order of two-legged ties, will be some of the utilities offered by this work for coaches. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-19879-005&site=ehost-live"
